idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
1947	I Det Fri Aktuelt opfordrer Ritt Bjerregaard til en ny folkeafstemning om noget , der ligner Maastricht-Traktaten .	i det fri aktuelt opfordrer ritt bjerregaard til en ny folkeafstemning om noget der ligner maastricht-traktaten	i det fri aktuelt ritt opfordrer bjerregaard til en ny folkeafstemning om noget ligner der maastricht-traktaten	O O O O O F O O O O O O O F O O	i det fri aktuelt ritt bjerregaard til en ny folkeafstemning om noget der opfordrer ligner maastricht-traktaten	O O O O O O O O O O O O O F C O
1948	Manden er fætter til hans kone , illegal italiensk immigrant .	manden er fætter til hans kone illegal italiensk immigrant	manden er fætter til hans kone illegal italiensk immigrant	O C O O O O O O O	manden fætter til hans kone illegal italiensk immigrant er	O O O O O O O O F
1949	Der bliver ikke tale om at vente på svar med hænderne i skødet .	der bliver ikke tale om at vente på svar med hænderne i skødet	der bliver ikke tale om at på vente svar med hænderne i skødet	O C O O O O O F O O O O O	der ikke tale om at vente på svar med hænderne i skødet bliver	O O O O O C O O O O O O F
1950	Men en fødselsdag kan man ikke glemme .	men en fødselsdag kan man ikke glemme	men en kan fødselsdag man ikke glemme	O O F O O O C	men en fødselsdag kan man glemme ikke	O O O C O F O
1951	Statsminister Poul Schlüters åbningstale kommer til debat i Folketinget på torsdag .	statsminister poul schlüters åbningstale kommer til debat i folketinget på torsdag	statsminister poul schlüters åbningstale kommer til debat i folketinget på torsdag	O O O O C O O O O O O	statsminister poul schlüters åbningstale kommer til debat i folketinget på torsdag	O O O O C O O O O O O
1952	Tvivlen bed i ham , og dårlig samvittighed , men især tvivlen .	tvivlen bed i ham og dårlig samvittighed men især tvivlen	tvivlen i bed ham og dårlig samvittighed men især tvivlen	O O F O O O O O O O	tvivlen bed i ham og dårlig samvittighed men især tvivlen	O C O O O O O O O O
1953	Om cirka et år skal systemet så ud til resten af landet .	om cirka et år skal systemet så ud til resten af landet	om cirka et skal år systemet så ud til resten af landet	O O O F O O O O O O O O	om cirka et år skal systemet så ud til resten af landet	O O O O C O O O O O O O
1954	Er Larsen mere sejlivet , end I havde troet ?	er larsen mere sejlivet end i havde troet	er larsen mere sejlivet end i havde troet	C O O O O O C C	er larsen mere sejlivet end i troet havde	C O O O O O C F
1955	""" Vi hører meget om Sarajevo , man skal bare ikke glemme , at der foregår lige så hårde kampe mange andre steder , "" siger chefen for den danske FN-styrke Dancon , oberst Jørgen Bjerregaard Nielsen , der har hovedkvarter i byen Kostajnica ."	vi hører meget om sarajevo man skal bare ikke glemme at der foregår lige så hårde kampe mange andre steder siger chefen for den danske fn-styrke dancon oberst jørgen bjerregaard nielsen der har hovedkvarter i byen kostajnica	vi meget hører om sarajevo skal man bare ikke glemme at der lige foregår så hårde kampe mange andre siger steder chefen for den danske fn-styrke dancon oberst jørgen bjerregaard nielsen der har hovedkvarter i byen kostajnica	O O F O O F O O O C O O O F O O O O O F O O O O O O O O O O O O C O O O O	vi hører meget om sarajevo man skal har bare ikke glemme at der lige så hårde kampe mange foregår andre steder chefen for den danske fn-styrke dancon oberst jørgen bjerregaard siger nielsen der hovedkvarter i byen kostajnica	O C O O O O C F O O C O O O O O O O F O O O O O O O O O O O F O O O O O O
1956	En anden overraskelse er ligeledes radioens og TVs valgudsendelser .	en anden overraskelse er ligeledes radioens og tvs valgudsendelser	en anden overraskelse er ligeledes radioens og tvs valgudsendelser	O O O C O O O O O	en anden overraskelse ligeledes radioens er og tvs valgudsendelser	O O O O O F O O O
1957	Rensch Nielsen , Ebeltoft , havde en konkurrence på Vejlemessen om navnet på et smykke .	rensch nielsen ebeltoft havde en konkurrence på vejlemessen om navnet på et smykke	rensch nielsen ebeltoft en havde konkurrence på vejlemessen om navnet på et smykke	O O O O F O O O O O O O O	rensch nielsen ebeltoft havde en konkurrence på vejlemessen om navnet på et smykke	O O O C O O O O O O O O O
1958	Selve handlingen forsvinder i masseslagsmål og elskovsscener - og fejlene i detaljer som f.eks. hvidkålshoveder , der strutter af kunstgødning , hunderacer , der ikke eksisterede i 1600-tallet og seriens nedlagte vildsvin , der tydeligvis var udstoppede og hevet direkte ned fra trofæ-væggen .	selve handlingen forsvinder i masseslagsmål og elskovsscener og fejlene i detaljer som f.eks. hvidkålshoveder der strutter af kunstgødning hunderacer der ikke eksisterede i 1600-tallet og seriens nedlagte vildsvin der tydeligvis var udstoppede og hevet direkte ned fra trofæ-væggen	selve forsvinder handlingen i masseslagsmål og elskovsscener og fejlene i detaljer som f.eks. hvidkålshoveder der strutter af kunstgødning hunderacer der ikke eksisterede i 1600-tallet og seriens vildsvin nedlagte der var tydeligvis udstoppede og hevet direkte ned fra trofæ-væggen	O F O O O O O O O O O O O O O C O O O O O C O O O O O F O F O C O C O O O O	selve handlingen forsvinder i masseslagsmål strutter og elskovsscener og fejlene i detaljer som f.eks. hvidkålshoveder hevet der af kunstgødning hunderacer der ikke i 1600-tallet og seriens nedlagte vildsvin der tydeligvis var udstoppede eksisterede og direkte ned fra trofæ-væggen	O O C O O F O O O O O O O O O F O O O O O O O O O O C O O O C C F O O O O O
1959	Jeg har aftaler helt frem til februar næste år .	jeg har aftaler helt frem til februar næste år	jeg aftaler har helt frem til februar næste år	O O F O O O O O O	jeg aftaler helt frem til februar næste år har	O O O O O O O O F
1960	Den manglende information og desinformationen er faktorer , der dels passiviserer , dels giver anledning til myter om Vesten , dels endelig har en tilbøjelighed til simpelt hen at få folk til at tro det modsatte af det , de læser i partipressen .	den manglende information og desinformationen er faktorer der dels passiviserer dels giver anledning til myter om vesten dels endelig har en tilbøjelighed til simpelt hen at få folk til at tro det modsatte af det de læser i partipressen	manglende den information og desinformationen er faktorer der dels passiviserer dels anledning giver til myter om vesten dels har endelig en tilbøjelighed til simpelt hen at få folk til at tro det modsatte af det de i læser partipressen	F O O O O C O O O C O O F O O O O O F O O O O O O O C O O O C O O O O O O F O	den manglende information og er desinformationen faktorer der dels dels giver passiviserer anledning til myter om vesten dels endelig har en tilbøjelighed til simpelt hen at folk til læser at tro det få modsatte af det de i partipressen	O C O O F O O O O O C F O O O O O O O C O O O O O O O O F O C O F O O O O O O
1961	Nationalscenens nye bestyrelse , der som sin første markante aktion har fyret Boel Jørgensen , har fået frist til 1. december af kulturminister Grethe Rostbøll ( kons. ) til at komme med et bud på Det Kgl. Teaters fremtidige struktur .	nationalscenens nye bestyrelse der som sin første markante aktion har fyret boel jørgensen har fået frist til 1. december af kulturminister grethe rostbøll kons. til at komme med et bud på det kgl. teaters fremtidige struktur	nationalscenens nye bestyrelse der som sin første markante har aktion fyret boel jørgensen har frist fået til 1. december af kulturminister grethe rostbøll kons. til komme at med et bud på det kgl. teaters fremtidige struktur	O O O O O O O O F O C O O C O F O O O O O O O O O F O O O O O O O O O O	nationalscenens nye bestyrelse der komme som sin første markante aktion har boel har fyret jørgensen fået frist til 1. december af kulturminister grethe rostbøll kons. til at med et bud på det kgl. teaters fremtidige struktur	O O O O F O O O O O C O F F O C O O O O O O O O O O O O O O O O O O O O
1962	""" Så løftes det private ud af privatlivets fred ."	så løftes det private ud af privatlivets fred	så løftes det private ud af privatlivets fred	O C O O O O O O	så det private ud af privatlivets fred løftes	O O O O O O O F
1963	"Audi , som fornylig trak sig ud af den tyske Gruppe-A-serie efter kontroverser omkring en ny krumtapaksel i teamets V8'ere , har meddelt sine kørere - Stuck , Jelinski og Biela - at de skal "" klappe hesten "" , og det er af iagttagere tolket på den måde , at Audi vender tilbage i 1993 og derfor har bedt kørerne om ikke at engagere sig til anden side ."	audi som fornylig trak sig ud af den tyske gruppe-a-serie efter kontroverser omkring en ny krumtapaksel i teamets v8'ere har meddelt sine kørere stuck jelinski og biela at de skal klappe hesten og det er af iagttagere tolket på den måde at audi vender tilbage i 1993 og derfor har bedt kørerne om ikke at engagere sig til anden side	audi som fornylig trak sig ud af den tyske gruppe-a-serie efter kontroverser omkring en ny krumtapaksel i teamets v8'ere har meddelt sine kørere stuck jelinski og biela at de skal klappe hesten og det af er tolket iagttagere på den måde at audi vender tilbage i 1993 og derfor har kørerne bedt om ikke engagere at sig til anden side	O O O C O O O O O O O O O O O O O O O F F O O O O O O O O C C O O O O F F O O O O O O C O O O O O C O F O O F O O O O O	audi engagere som fornylig trak sig ud af den tyske gruppe-a-serie efter kontroverser omkring en tolket ny krumtapaksel i teamets v8'ere meddelt sine kørere stuck jelinski og biela har at de skal hesten og det er klappe af iagttagere på den måde at audi tilbage i vender 1993 og bedt derfor har kørerne om ikke at sig til anden side	O F O O C O O O O O O O O O O F O O O O O C O O O O O O F O O C O O O C F O O O O O O O O O F O O F O C O O O O O O O O
1964	I år regner vi med at sælge 700 ton - det svarer til 2,8 millioner pakker , fortæller produktchef Lars Bred , Tholstrup Cheese .	i år regner vi med at sælge 700 ton det svarer til 2,8 millioner pakker fortæller produktchef lars bred tholstrup cheese	i år regner vi med at sælge 700 ton det til svarer 2,8 millioner fortæller pakker produktchef lars bred tholstrup cheese	O O C O O O C O O O O F O O F O O O O O O	i sælge år vi med at 700 ton det svarer til 2,8 millioner pakker fortæller produktchef lars bred tholstrup cheese regner	O F O O O O O O O C O O O O C O O O O O F
1965	Familien brugte weekend'er og ferier på at spille og synge kristne gospel-sange ved byfester , i fængsler og forsamlingshuse , fortæller hun .	familien brugte weekend'er og ferier på at spille og synge kristne gospel-sange ved byfester i fængsler og forsamlingshuse fortæller hun	familien brugte weekend'er og ferier på at spille og kristne synge gospel-sange ved byfester i fængsler og fortæller forsamlingshuse hun	O C O O O O O C O O F O O O O O O F O O	familien weekend'er og ferier på at og synge kristne spille gospel-sange ved byfester brugte i fængsler og forsamlingshuse fortæller hun	O O O O O O O C O F O O O F O O O O C O
1966	Men problemet er , at disse eksperter sjældent er teknikere eller ingeniører , men i de fleste tilfælde økonomer .	men problemet er at disse eksperter sjældent er teknikere eller ingeniører men i de fleste tilfælde økonomer	men problemet er at disse eksperter sjældent er teknikere eller ingeniører men i de fleste tilfælde økonomer	O O C O O O O C O O O O O O O O O	men problemet er at disse er eksperter sjældent teknikere eller ingeniører men i de fleste tilfælde økonomer	O O C O O F O O O O O O O O O O O
1967	Han er alt for fuld .	han er alt for fuld	han alt er for fuld	O O F O O	er han alt for fuld	F O O O O
1968	Det var sporten , der vandt i aften .	det var sporten der vandt i aften	var det sporten der vandt i aften	F O O O C O O	det sporten der vandt var i aften	O O O C F O O
1969	REGERINGSCHEFEN bærer sin store del af æren herfor , men et par andre momenter bør dog også drages frem .	regeringschefen bærer sin store del af æren herfor men et par andre momenter bør dog også drages frem	regeringschefen bærer sin store del af æren herfor men et par andre momenter dog bør drages også frem	O C O O O O O O O O O O O O F F O O	regeringschefen bærer sin store del af drages bør æren herfor men et par andre momenter dog også frem	O C O O O O F F O O O O O O O O O O
1970	"Hun vender sig om mod ham og siger forbavset : "" Vidste du ikke det ?"	hun vender sig om mod ham og siger forbavset vidste du ikke det	hun vender sig om mod ham og siger forbavset vidste du ikke det	O C O O O O O C F F O O O	hun vender sig om siger mod ham og vidste du forbavset ikke det	O C O O F O O O C O F O O
1971	Hvis de konservative skal komme med et seriøst alternativ til den folkeskole vi har i dag , er det nødvendigt at de profilerer deres holdning og konkretiserer , hvorfor de f.eks. mener at niveaudelt undervisning er bedre .	hvis de konservative skal komme med et seriøst alternativ til den folkeskole vi har i dag er det nødvendigt at de profilerer deres holdning og konkretiserer hvorfor de f.eks. mener at niveaudelt undervisning er bedre	hvis de konservative skal komme med et seriøst alternativ til den folkeskole vi i har er dag det nødvendigt at de profilerer deres holdning og konkretiserer hvorfor de f.eks. niveaudelt mener at undervisning er bedre	O O O C C O O O O O O O O O F F O O O O O C O O O C O O O F F O O C O	hvis de konservative med et seriøst mener alternativ til den folkeskole vi er har i dag det nødvendigt at de profilerer deres holdning og konkretiserer hvorfor de komme f.eks. skal at niveaudelt undervisning er bedre	O O O O O O F O O O O O F C O O O O O O C O O O C O O F O F O C O C O
1972	Bosnien-Hercegovina fik i går en strøm af støtte og sympati fra FN's generalforsamling , hvor islamiske lande opfordrede til militær magtanvendelse til fordel for den betrængte republik .	bosnien-hercegovina fik i går en strøm af støtte og sympati fra fn's generalforsamling hvor islamiske lande opfordrede til militær magtanvendelse til fordel for den betrængte republik	bosnien-hercegovina fik i går en strøm af støtte og sympati fra fn's generalforsamling hvor islamiske lande til opfordrede militær magtanvendelse til fordel for den betrængte republik	O C O O O O O O O O O O O O O O O F O O O O O O O O	bosnien-hercegovina fik i går en strøm opfordrede af støtte og sympati fra fn's generalforsamling hvor islamiske lande til militær magtanvendelse til fordel for den betrængte republik	O C O O O O F O O O O O O O O O O O O O O O O O O O
1973	Politiets aktion virker latterlig .	politiets aktion virker latterlig	politiets virker aktion latterlig	O F O O	politiets virker aktion latterlig	O F O O
1974	"1 ) Læs i morgen : Professor Preben Plum om "" Kejserens ny bevidsthed "" af Roger Penrose , Oxford ."	1 læs i morgen professor preben plum om kejserens ny bevidsthed af roger penrose oxford	1 læs i morgen professor preben plum om kejserens ny bevidsthed af roger penrose oxford	O C O O O O O O O O O O O O O	1 i morgen professor preben plum om kejserens ny bevidsthed af roger penrose læs oxford	O O O O O O O O O O O O O F O
1975	Lasse Hessel selv fremhæver også et par overraskende iagttagelser .	lasse hessel selv fremhæver også et par overraskende iagttagelser	lasse hessel selv fremhæver også et par iagttagelser overraskende	O O O C O O O O F	lasse fremhæver hessel selv også et par overraskende iagttagelser	O F O O O O O C O
1976	Hamid Jafar er 45 år , uddannet i London og søn af en tidligere irakisk regeringsminister .	hamid jafar er 45 år uddannet i london og søn af en tidligere irakisk regeringsminister	hamid er jafar 45 år uddannet i london og søn af en tidligere irakisk regeringsminister	O F O O O C O O O O O O O O O	hamid jafar 45 år uddannet er i london og søn af en tidligere irakisk regeringsminister	O O O O C F O O O O O O O O O
1977	- Hvem mig ? spurgte Bucks undrende .	hvem mig spurgte bucks undrende	hvem mig spurgte bucks undrende	O O C O C	hvem mig bucks spurgte undrende	O O O F C
1978	De tre favoritter er British Steel Plc , det tyske Thyssen AG og det svenske SSAB Svenskt Stål AB .	de tre favoritter er british steel plc det tyske thyssen ag og det svenske ssab svenskt stål ab	de tre favoritter british er steel plc det tyske thyssen ag og det svenske ssab svenskt stål ab	O O O O F O O O O O O O O O O O O O	de tre favoritter british er steel plc det tyske thyssen ag og det svenske ssab svenskt stål ab	O O O O F O O O O O O O O O O O O O
1979	For første gang er de mere værd end broderfolkets .	for første gang er de mere værd end broderfolkets	for første er gang de mere værd end broderfolkets	O O F O O O O O O	for første gang er de mere værd end broderfolkets	O O O C O O O O O
1980	Pemmican er plader af fedt , vitaminer og mineraler , der er velegnet til både hunde og mennesker i polarkulden - og smager af lige præcis det smagsstof , der tilsættes .	pemmican er plader af fedt vitaminer og mineraler der er velegnet til både hunde og mennesker i polarkulden og smager af lige præcis det smagsstof der tilsættes	pemmican er plader af fedt vitaminer og mineraler der velegnet er til både hunde og mennesker i polarkulden smager og af lige præcis det smagsstof der tilsættes	O C O O O O O O O O F O O O O O O O F O O O O O O O C	pemmican er plader af fedt vitaminer og tilsættes mineraler der er velegnet til både hunde og mennesker i polarkulden og af smager lige præcis det smagsstof der	O C O O O O O F O O C O O O O O O O O O O F O O O O O
1981	Det blev bragt til Nigeria på falske dokumenter via Kokos lille havn .	det blev bragt til nigeria på falske dokumenter via kokos lille havn	det blev til bragt nigeria på falske dokumenter via kokos lille havn	O C O F O O O O O O O O	det bragt til nigeria på falske blev dokumenter via kokos lille havn	O C O O O O F O O O O O
1982	De dræbte er den 42-årige Palle Kreiberg-Nielsen , Tommerup , og Kim Scavenius Johnsen , 32 , Tommerup , samt Palle Kreiberg-Nielsens veninde , Inger Agnes Mandrup Flindtgaard , 54 , Slangerup .	de dræbte er den 42-årige palle kreiberg-nielsen tommerup og kim scavenius johnsen 32 tommerup samt palle kreiberg-nielsens veninde inger agnes mandrup flindtgaard 54 slangerup	dræbte de er den 42-årige palle kreiberg-nielsen tommerup og kim scavenius johnsen 32 tommerup samt palle kreiberg-nielsens veninde inger agnes mandrup flindtgaard 54 slangerup	F O C O O O O O O O O O O O O O O O O O O O O O	de dræbte den 42-årige palle kreiberg-nielsen tommerup og er kim scavenius johnsen 32 tommerup samt palle kreiberg-nielsens veninde inger agnes mandrup flindtgaard 54 slangerup	O C O O O O O O F O O O O O O O O O O O O O O O
1983	Monoetylenglycol er normalt grønt eller blåt , og giver ved en 50 % blanding med vand en frostsikring på ca. minus 40 grader .	monoetylenglycol er normalt grønt eller blåt og giver ved en 50 blanding med vand en frostsikring på ca. minus 40 grader	monoetylenglycol er normalt grønt eller blåt og ved giver en 50 blanding med vand en frostsikring på ca. minus 40 grader	O C O O O O O O F O O O O O O O O O O O O	monoetylenglycol er normalt grønt giver eller blåt og ved en 50 blanding med vand en frostsikring på ca. minus 40 grader	O C O O F O O O O O O O O O O O O O O O O
1984	Chefen for det bosniske hjemmeværn , der fortrinsvis består af muslimer , gav ham ret .	chefen for det bosniske hjemmeværn der fortrinsvis består af muslimer gav ham ret	chefen for det bosniske hjemmeværn der består fortrinsvis af muslimer gav ham ret	O O O O O O F O O O C O O	chefen for består det bosniske hjemmeværn der fortrinsvis af muslimer gav ham ret	O O F O O O O O O O C O O
1985	Vi sørgede for at være der præcis .	vi sørgede for at være der præcis	vi sørgede for at der være præcis	O C O O O F O	vi være sørgede for at der præcis	O F C O O O O
1986	Han er nemlig - ligesom alle andre SAS-piloter - dækket ind af forsikringer , og det er ikke småpenge , Stefan Rasmussen kan se frem til , hvis hans flycertifikat bliver inddraget af de danske luftfartsmyndigheder .	han er nemlig ligesom alle andre sas-piloter dækket ind af forsikringer og det er ikke småpenge stefan rasmussen kan se frem til hvis hans flycertifikat bliver inddraget af de danske luftfartsmyndigheder	er han nemlig ligesom alle andre sas-piloter dækket ind af forsikringer og det er ikke småpenge stefan rasmussen kan se frem til hvis hans flycertifikat bliver inddraget af de danske luftfartsmyndigheder	F O O O O O O C O O O O O C O O O O F F O O O O O C C O O O O	han nemlig ligesom alle andre sas-piloter ind af forsikringer og det ikke småpenge dækket stefan er rasmussen kan se frem til hvis hans flycertifikat inddraget af er bliver de danske luftfartsmyndigheder	O O O O O O O O O O O O O F O F O C C O O O O O C O F F O O O
1987	Det er utroligt .	det er utroligt	det utroligt er	O O F	det utroligt er	O O F
1988	""" I meget sjældne tilfælde kan salmonella-bakterien gå over i blodet og give blodforgiftning , og så kan tilstanden blive alvorlig ."	i meget sjældne tilfælde kan salmonella-bakterien gå over i blodet og give blodforgiftning og så kan tilstanden blive alvorlig	i meget sjældne kan tilfælde salmonella-bakterien gå over i blodet og give blodforgiftning og så blive kan tilstanden alvorlig	O O O F O O C O O O O C O O O F F O O	give i meget sjældne tilfælde kan kan salmonella-bakterien gå over i blodet og blodforgiftning og så tilstanden blive alvorlig	F O O O O C F O C O O O O O O O O C O
1989	- Nej , det vil jeg ikke .	nej det vil jeg ikke	nej det vil jeg ikke	O O C O O	nej det jeg vil ikke	O O O F O
1990	SVX Coupe har derimod træk på alle fire hjul , når den skal overføre de 230 hk fra den 3,3 liter store 6-cylinder boxermotor med en topfart på 235 km/t. .	svx coupe har derimod træk på alle fire hjul når den skal overføre de 230 hk fra den 3,3 liter store 6-cylinder boxermotor med en topfart på 235 km/t.	svx coupe har derimod træk på alle fire hjul når den skal overføre de 230 hk fra den 3,3 liter store 6-cylinder boxermotor med en topfart på 235 km/t.	O O C O O O O O O O O F F O O O O O O O O O O O O O O O O	svx coupe har derimod træk på alle fire overføre hjul når den de 230 hk fra den 3,3 liter store 6-cylinder boxermotor med skal en topfart på 235 km/t.	O O C O O O O O F O O O O O O O O O O O O O O F O O O O O
1991	Hvad lavede du før du begyndte at arbejde for en kontrakt ?	hvad lavede du før du begyndte at arbejde for en kontrakt	hvad lavede du før du begyndte at for arbejde en kontrakt	O C O O O C O O F O O	hvad du før du lavede begyndte at for en kontrakt arbejde	O O O O F C O O O O F
1992	Kravler rundt på bjergsiderne .	kravler rundt på bjergsiderne	kravler rundt på bjergsiderne	C O O O	kravler rundt på bjergsiderne	C O O O
1993	""" Reklamefilm er ærlige ."	reklamefilm er ærlige	er reklamefilm ærlige	F O O	reklamefilm er ærlige	O C O
1994	Uden for teltet sidder en lille pige med et spædbarn på skødet .	uden for teltet sidder en lille pige med et spædbarn på skødet	uden for teltet sidder en lille pige med et spædbarn på skødet	O O O C O O O O O O O O	uden for teltet en lille sidder pige med et spædbarn på skødet	O O O O O F O O O O O O
1995	Vi holdt på bolden og kombinerede os til flere chancer .	vi holdt på bolden og kombinerede os til flere chancer	vi på holdt bolden kombinerede og os til flere chancer	O O F O F O O O O O	vi på bolden og kombinerede os holdt til flere chancer	O O O O C O F O O O
1996	Inden køreturen deltog prinsen i rejsegildet for Nørresø-kollegiet .	inden køreturen deltog prinsen i rejsegildet for nørresø-kollegiet	inden køreturen deltog prinsen i rejsegildet for nørresø-kollegiet	O O C O O O O O	inden køreturen prinsen i rejsegildet deltog for nørresø-kollegiet	O O O O O F O O
1997	Af de to hovedkandidater har Bill Clinton forsøgt at gøre det til en sagsorienteret valgkamp , baseret på republikanernes skatte- og erhvervsøkonomiske fiasko , mens George Bush omvendt har søgt at gøre den personorienteret ved at sætte kraftige spørgsmålstegn ved Bill Clintons egnethed , først og fremmest på baggrund af hans værnepligtsvægring og anti-holdning i Vietnamkrigen .	af de to hovedkandidater har bill clinton forsøgt at gøre det til en sagsorienteret valgkamp baseret på republikanernes skatte- og erhvervsøkonomiske fiasko mens george bush omvendt har søgt at gøre den personorienteret ved at sætte kraftige spørgsmålstegn ved bill clintons egnethed først og fremmest på baggrund af hans værnepligtsvægring og anti-holdning i vietnamkrigen	af de to hovedkandidater har bill clinton gøre forsøgt at det til en sagsorienteret valgkamp baseret på republikanernes skatte- og erhvervsøkonomiske fiasko mens george bush omvendt har gøre søgt at den personorienteret ved at sætte kraftige spørgsmålstegn ved bill clintons egnethed først og fremmest på baggrund af hans værnepligtsvægring og anti-holdning i vietnamkrigen	O O O O C O O F F O O O O O O C O O O O O O O O O O C F F O O O O O C O O O O O O O O O O O O O O O O O O	af de to hovedkandidater har bill clinton at det til en sagsorienteret valgkamp baseret på republikanernes skatte- og erhvervsøkonomiske fiasko forsøgt mens george bush omvendt har at den personorienteret ved at sætte kraftige spørgsmålstegn ved bill gøre clintons egnethed gøre først og fremmest på baggrund af hans værnepligtsvægring og anti-holdning i vietnamkrigen søgt	O O O O C O O O O O O O O C O O O O O O F O O O O C O O O O O C O O O O F O O F O O O O O O O O O O O O F
1998	""" Det er typisk , at andelsbevægelsen havde succes i Danmark , men mislykkedes i Skotland . """	det er typisk at andelsbevægelsen havde succes i danmark men mislykkedes i skotland	det er typisk at andelsbevægelsen succes havde i danmark mislykkedes men i skotland	O C O O O O F O O F O O O	det typisk at andelsbevægelsen havde succes i danmark men er mislykkedes i skotland	O O O O C O O O O F C O O
1999	Når jeg steg ud forvandledes jeg til vamp .	når jeg steg ud forvandledes jeg til vamp	når jeg steg ud forvandledes jeg til vamp	O O C O C O O O	når jeg ud forvandledes jeg til steg vamp	O O O C O O F O
2000	Danskerne laver gerne sjov med politik , vi har friheden til det .	danskerne laver gerne sjov med politik vi har friheden til det	danskerne gerne laver sjov med politik har vi friheden til det	O O F O O O F O O O O	har danskerne laver gerne sjov med politik vi friheden til det	F O C O O O O O O O O
2001	Jo , naturligvis tager vi det alvorligt , og gudskelov er der ingen , der har været oppe at skændes endnu .	jo naturligvis tager vi det alvorligt og gudskelov er der ingen der har været oppe at skændes endnu	jo naturligvis tager vi det alvorligt og gudskelov er der ingen der har været oppe at skændes endnu	O O C O O O O O C O O O F F O O C O	jo naturligvis vi det alvorligt tager og gudskelov er der ingen der været oppe at skændes har endnu	O O O O O F O O C O O O C O O C F O
2002	Andrés øjne kunne ikke fange de sorte figurer på det hvide papir , og når han langt om længe havde fået sig slæbt igennem en linje , kunne han dårligt huske , hvordan den begyndte .	andrés øjne kunne ikke fange de sorte figurer på det hvide papir og når han langt om længe havde fået sig slæbt igennem en linje kunne han dårligt huske hvordan den begyndte	andrés øjne kunne ikke de fange sorte figurer på det hvide papir og når han langt om havde længe fået sig slæbt igennem en linje han kunne huske dårligt hvordan den begyndte	O O C O O F O O O O O O O O O O O F O C O C O O O O F F O O O C	andrés øjne kunne ikke fange de sorte figurer på det hvide papir kunne og når han langt begyndte om huske længe fået sig havde slæbt igennem en linje han dårligt hvordan den	O O C O C O O O O O O O F O O O O F O F O C O F C O O O O O O O
2003	Det er jo næsten til at græde over ( eller give sin kæreste et ekstra kys , mens der endnu er tid , som i titelnummeret ) .	det er jo næsten til at græde over eller give sin kæreste et ekstra kys mens der endnu er tid som i titelnummeret	det er jo næsten til at over græde give eller sin kæreste et ekstra kys mens der endnu er tid som i titelnummeret	O C O O O O O F F O O O O O O O O O C O O O O	det jo næsten til at græde over eller sin kæreste et ekstra er kys mens der endnu er tid som i titelnummeret give	O O O O O C O O O O O O F O O O O C O O O O F
2004	Fristelsen er stor .	fristelsen er stor	fristelsen er stor	O C O	fristelsen er stor	O C O
2005	"* Tobaksplanter kan tilsættes en særlig mikrobe , der producerer skarpe "" dræber-krystaller "" inde i tobaksbladene ."	tobaksplanter kan tilsættes en særlig mikrobe der producerer skarpe dræber-krystaller inde i tobaksbladene	tobaksplanter kan tilsættes en særlig mikrobe der producerer skarpe dræber-krystaller inde i tobaksbladene	O F F O O O O C O O O O O	tobaksplanter tilsættes en særlig mikrobe der skarpe dræber-krystaller inde i tobaksbladene producerer kan	O C O O O O O O O O O F F
2006	Vi skal i dag se et spil fra det jyske lokalopgør mellem på den ene side Steen Schou fra Århus med Anker Pabst , H. C. Nielsen og Knud-Aage Boesgaard og på den anden side Frederik Mørk fra Vejle med Torben Stetkær , Erik Brok og Otto Dahl .	vi skal i dag se et spil fra det jyske lokalopgør mellem på den ene side steen schou fra århus med anker pabst h. c. nielsen og knud-aage boesgaard og på den anden side frederik mørk fra vejle med torben stetkær erik brok og otto dahl	vi skal i dag et se spil fra det jyske lokalopgør mellem på den ene side steen schou fra århus med anker pabst h. c. nielsen og knud-aage boesgaard og på den anden side frederik mørk fra vejle med torben stetkær erik brok og otto dahl	O C O O O F O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	vi i dag se et spil fra det jyske lokalopgør mellem på den ene side steen schou fra århus med anker pabst h. c. nielsen og knud-aage boesgaard og på den skal anden side frederik mørk fra vejle med torben stetkær erik brok og otto dahl	O O O C O O O O O O O O O O O O O O O O O O O O O O O O O O O F O O O O O O O O O O O O O O
2007	De fleste infektioner skyldes nemlig , at ubearbejdede råvarer forurener de færdige retter .	de fleste infektioner skyldes nemlig at ubearbejdede råvarer forurener de færdige retter	de fleste skyldes infektioner nemlig at ubearbejdede råvarer forurener de færdige retter	O O F O O O O O C O O O	de fleste infektioner nemlig at ubearbejdede råvarer forurener de færdige retter skyldes	O O O O O O O C O O O F
2008	Inddragelsen af NATO sikrer , at styrken også får amerikansk deltagelse , og dermed fastholdes det atlantiske perspektiv i europæisk sikkerhed .	inddragelsen af nato sikrer at styrken også får amerikansk deltagelse og dermed fastholdes det atlantiske perspektiv i europæisk sikkerhed	inddragelsen af nato sikrer at styrken også amerikansk får deltagelse og fastholdes dermed det atlantiske perspektiv i europæisk sikkerhed	O O O C O O O O F O O F O O O O O O O	inddragelsen af nato sikrer at får styrken også amerikansk deltagelse og dermed det fastholdes atlantiske perspektiv i europæisk sikkerhed	O O O C O F O O O O O O O F O O O O O
